term,beta,desc
CUI.C0025815,0.2262842667714621,Methylprednisolone
CUI.C0026838,-0.26368202641716393,Muscle Spasticity
CUI.C0027497,0.2051422537315168,Nausea
CUI.C0028643,0.30982311354750597,Numbness
CUI.C0028738,-0.019416680382255233,Nystagmus
CUI.C0029134,0.1709362445471993,Optic Neuritis
CUI.C0030252,0.0599856985380838,Palpitations
CUI.C0037763,0.0108297522442738,Spasm
CUI.C0038317,0.3201198502400355,Steroids
CUI.C0038999,-0.09079182480677138,Swelling
CUI.C0042866,-0.012013414873522626,Vitamin D
CUI.C0058218,-0.007196769668308326,dimethyl fumarate
CUI.C0085633,-0.056839604749045466,Mood swings
CUI.C0149783,-0.05311580175447835,Steroid therapy
CUI.C0150055,0.07227067875153284,Chronic pain
CUI.C0151827,1.0019143066932502e-4,Eye pain
CUI.C0221505,0.28839714770690505,Lesion of brain
CUI.C0225326,-0.04595432145791411,Fiber
CUI.C0233844,0.20141590915099614,Clumsiness
CUI.C0241158,-0.01543762598321943,Scar Tissue
CUI.C0242350,-0.08482800775040997,Erectile dysfunction
CUI.C0242656,-0.18771134849718585,Unknown Preferred Text
CUI.C0274281,-0.3065485274203514,Injury due to exposure to external cause
CUI.C0277556,0.5392676958212191,Recurrent disease
CUI.C0278060,-0.11148506941626803,Mental state
CUI.C0302583,0.042291221221687894,Iron
CUI.C0311392,-0.13745577267689055,Physical findings
CUI.C0344232,0.18514377918121194,Blurred vision
CUI.C0374711,-0.06331766086728226,Surgical repair
CUI.C0393022,-0.00674516571126949,rituximab
CUI.C0412675,-0.10939773573470987,MRI brain procedure
CUI.C0423551,0.12883005946474133,Sensory symptoms
CUI.C0427008,0.04707884984118184,Stiffness
CUI.C0518214,-0.019062988328639844,Perceived quality of life
CUI.C0543488,-0.17014223784164118,Interested
CUI.C0544452,-0.24244681162142429,Disease remission
CUI.C0563322,-0.1904307808663228,Intravenous steroid injection
CUI.C0576702,0.34281542814624794,Unknown Preferred Text
CUI.C0684336,-0.17483125550505346,Impaired health
CUI.C0701466,0.2952209646136107,Solu-Medrol
CUI.C0751967,0.12975398026872456,"Multiple Sclerosis, Relapsing-Remitting"
CUI.C0849970,0.13710261003891763,Feeling tired
CUI.C0949766,3.985801118108317e-4,Physical therapy
CUI.C1299582,-0.0688479683135728,Unable
CUI.C1304680,0.03418459805045877,Observation of attack
CUI.C1517205,0.3663180537955864,Unknown Preferred Text
CUI.C1699926,0.19026403144941775,fingolimod
CUI.C2242996,0.25390579229917004,Has tingling sensation
CUI.chip0115,-0.30295097945571536,Unknown Preferred Text
PheCode.041_,-0.21698293719507272,Bacterial infection NOS
PheCode.174_1,0.060797504474756424,Breast cancer [female]
PheCode.198_,-0.4800224318927189,Secondary malignant neoplasm
PheCode.216_,0.14525372016996788,Benign neoplasm of skin
PheCode.244_4,-0.08519801141720494,Hypothyroidism NOS
PheCode.272_1,0.015121683588304772,Hyperlipidemia
PheCode.278_1,-0.05185469077931997,Obesity
PheCode.279_,-0.4360732481178617,Disorders involving the immune mechanism
PheCode.285_,-0.09359631824901808,Other anemias
PheCode.291_,-0.004830432038258018,Other specified nonpsychotic and/or transient mental disorders
PheCode.292_4,0.30414224167609527,Altered mental status
PheCode.296_2,0.17861167997170213,Depression
PheCode.300_1,-0.09278359556224808,Anxiety disorder
PheCode.327_,-0.0971540960625381,Sleep disorders
PheCode.341_,0.13490528506711333,Other demyelinating diseases of central nervous system
PheCode.344_,-0.048933479841732803,Other paralytic syndromes
PheCode.348_9,0.08433066139106346,"Other conditions of brain, NOS"
PheCode.386_9,-0.3335402559356481,Dizziness and giddiness (Light-headedness and vertigo)
PheCode.411_,-0.5929979621672546,Ischemic Heart Disease
PheCode.418_,0.031755812991638696,Nonspecific chest pain
PheCode.452_,-0.21159371959392223,Other venous embolism and thrombosis
PheCode.512_7,-0.13718414779909052,Shortness of breath
PheCode.514_,-0.6661641572423012,Abnormal findings examination of lungs
PheCode.530_1,-0.03690090903781943,"Esophagitis, GERD and related diseases"
PheCode.532_,-0.2780938979679681,Dysphagia
PheCode.561_,-0.1921770003129012,Symptoms involving digestive system
PheCode.626_,0.0830422974778961,Disorders of menstruation and other abnormal bleeding from female genital tract
PheCode.687_4,0.2581564576711395,Disturbance of skin sensation
PheCode.722_,-0.3449317960052179,Intervertebral disc disorders
PheCode.740_,0.013134185653266808,Osteoarthrosis
PheCode.743_1,-0.24340541009388286,Osteoporosis
PheCode.745_,0.06424788775343543,Pain in joint
PheCode.760_,-0.03740796424634734,Back pain
PheCode.783_,-0.16448620375123038,Fever of unknown origin
PheCode.785_,-0.03186583086016455,Abdominal pain
PheCode.789_,-0.009578371173954239,Nausea and vomiting
FEMALE,0.14192270281916688,NA
RACE,-0.2697212983187177,NA
DISEASE_DURA,-0.03505343829424479,NA
