"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","Desc"
"CPTGroup.immunization adm",-0.014233431554683,-0.0099476326806879,0,0,0,0,0,0,0,0,0,0,0,-0.0646367784136001,0,0,0,0,-0.0254255125457815,0,"Immunization administration for vaccines/toxoids"
"CPTGroup.vaccines, toxoid",-0.0112314401909117,-0.00864972234422173,0,0,0,0,-0.017911754133505,0,0,0,0,0,0,-0.0882935439814375,0,0,0,0,-0.0249553527528581,0,"Vaccines, toxoids"
"CPTGroup.psychiatry",-0.00330544575021403,2.93297597120177e-06,0,0,0,-0.49657899497153,0,0,-0.130200787061837,0,-0.22971127804581,0,0,0,0,0,0,0.260852968590521,0,0,"Psychiatry"
"CPTGroup.cardiovascular",-0.00398850863471635,-0.00387312540317518,0,0,0,-0.0350820255910961,-0.0589551080492699,0,0.0368876523750684,0,0.268276836926613,0,0.0100579821688282,0,0,0,0,0,-0.0675217524473873,0,"Cardiovascular"
"CPTGroup.noninvasive vasc",-0.0158609522043815,-0.0127712044421037,0,0,0,0,0,0,0,0,0,0,0,-0.016779503356345,-0.0692497999718501,-0.0131017748214206,0,0,0,0,"Noninvasive vascular diagnostic studies"
"CPTGroup.pulmonary",-0.0146009201509169,-0.0110868896942054,0,0,0,0,0,0,0,0,0,0,0,-0.0239579981678777,-0.0442717691361315,0,-0.00919353168632813,0,0,0,"Pulmonary"
"CPTGroup.health and behav",-0.0152701957246906,-0.0108693484763186,0,0,0,0,0,0,0,0,0,0,0,-0.0255941972025285,0,0,-0.0558799211337306,0,0,0,"Health and behavior assessment/intervention"
"CPTGroup.hydration, thera",0.018420733600198,0.0350666728270533,-0.266096903858834,0,0,0,0.170994373079046,0.566531796745544,-0.129367529641484,0.0572060313561098,0,0.132807293027781,-0.12266301960316,0,0,0,0,0.110545553378232,0,-0.145237048595529,"Hydration, therapeutic, prophylactic, diagnostic injections and infusions, and chemotherapy and other highly complex drug or highly complex biologic agent administration"
"CPTGroup.physical medicin",-0.00737210235252495,0,0,0,0,-0.0923049373661487,0,0,0.0162118422284767,0,0.191356808279437,0,0,0,0,-0.117560489806775,0,0,0,0,"Physical medicine and rehabilitation"
"CPTGroup.special services",-0.0124574185636503,-0.0134820987386771,0,0,0,0,0,0,0,0,0,0,0,-0.0899090892302593,0,-0.0138523779255239,-0.00996923664955454,0,0,0,"Special services, procedures and reports"
"CPTGroup.Office/other out",0.0626058912688174,0.0830262048659359,0,0,-0.338592430852964,0,0,0,0,0.0603442107183453,0,0,0.0110294237197422,0,0,0,0,0,0,-0.0867815292321007,"Office/other outpatient services"
"CPTGroup.Hospital inpatie",-0.0100547887251016,-0.0116307659276412,0,0,0,-0.0784065277219967,0,0.0109058233190172,0.0234389054960291,0,0.301895255713191,0,0,0,0,-0.0217809315586146,0,0,0,0,"Hospital inpatient services"
"CPTGroup.Consultations",-0.00992024927242448,0,0,0,0,0,0,0,0,0,0,0,0,-0.0409732352344799,0,0,-0.0635477588423314,0,0,0,"Consultations"
"CPTGroup.Emergency depart",-0.00785628652134378,0,0,0,0,-0.0504478015785334,0,0.0122205922279419,0.0260235682299061,0,0.26235579359768,0,0,0,0,0,0,0,0,0,"Emergency department services"
"CPTGroup.Critical care se",-0.017313729427254,-0.0173242248452289,0,0,0,0,0,0,0,0,0,0,0,0,-0.0208899435867191,-0.00940709743577065,-0.0132471353413002,0,-0.0141543299208064,0,"Critical care services"
"CPTGroup.Preventive medic",-0.00771680572082815,0,0,0,0,0,-0.118588044293736,0,0,0,0,0,0,0,0,0,0,0,0,-0.0733823479444583,"Preventive medicine services"
"CPTGroup.outpatient clini",0,0,0,0,0,0,-0.146846383721189,0,0,0,0,0,0.000332456653493969,0,0,0,0,-0.198876426930974,0,0,"Outpatient clinic visit"
"CPTGroup.cancer screening",-0.000369210764370439,0.00413307637003768,0,0,0,0,-0.462904527390562,0,-0.0350290497582339,0,-0.0197241369173035,0.0166523610893109,-0.0458870427607084,0,0,0.0353083414308468,0.0757571372802917,0.00850167650705514,0.0883005402014411,-0.111456971363569,"Cancer screening"
"CUI.C0001962",0.0169251935410542,0.0196765621806238,-0.0593533457733395,0.309767965054361,0,0,0,-0.00019239327576689,0,0,0,0,0,0,0,0,0,0,0,0,"Ethanol"
"CUI.C0003241",-0.00149633462667106,0,0,0,0,0,0,0.0283602231843242,0.279400294814652,0,0,0,0.00160569735225502,0,0,0,0,0,0,0.00528152265023036,"Antibodies"
"CUI.C0003467",0.00453083728601569,0.0110492129558845,-0.0128277312904164,0.268232710736715,0,0,0,0,0,-0.0251578294872016,0,0,-0.0954415371487339,0,0,0.703519842338758,-0.245413508640702,0,0,0,"Anxiety"
"CUI.C0004134",-0.0028833574028624,-0.00947440129133647,0,0,0,0,0,0.0220013853870207,0,0,0.040871545646675,-0.0420974551461775,0,0,0,0,-0.00188874435538083,0,0,0.0420244008406986,"Ataxia"
"CUI.C0004268",0,0,0,0.0117664189968101,-0.0542094598113053,-0.244040508268287,0,0,0,0,0,0,0,0,0,0,0,-0.385154930007878,0.0359399023829154,-0.0374283505046221,"Attention"
"CUI.C0005558",0,0,0,0,0,-0.0269652705230496,-0.597305709884429,0,-0.050154554361053,0.0360509640699474,-0.0357410648289692,0,0,0.274544118715583,0,0,0,0,0,0.0901861466378353,"Biopsy"
"CUI.C0006644",-0.0108700057034691,-0.00162270879445737,0,0,0,0,0,0,0.0218921133138984,-0.0160154550998726,0,0,0,-0.123978849500363,0,0,-0.0633309822880207,0,0,0,"Caffeine"
"CUI.C0009244",-0.0148295056694331,-0.0145573594732928,0,0,0,0,0,0,0,-0.00524993938471461,0,0,0,-0.0172651577497552,-0.0444741176037313,0,-0.0786065284598327,-0.00348554625956061,0,0,"Cognitive Therapy"
"CUI.C0009443",0.00815951596053148,0.00744105060422864,-0.255589432424025,0,0,0,0,0.0497241657780658,0,-0.0543024499740101,0,0.109770156410295,-0.136529315627026,0,0,0,0,0,0,0,"Common Cold"
"CUI.C0009450",0.0246444274754964,0.0171089351663372,-0.353132740447792,0,0.0041912470503122,0,0,0,0,0,0,0,-0.0705651872641771,0,0,-0.195765089323752,0,0,0,-0.142873302578947,"Communicable Diseases"
"CUI.C0009676",-0.00706877697007121,-0.00595959660419189,0,0,0,-0.176315787331188,0,0,0,0,0,0,0,0,0,-0.164654573979355,0,0,0,0.0709524330087424,"Confusion"
"CUI.C0011304",0,0,0,0,0,0,0,0,0.0943425322216218,0,0,-0.0178831354362921,0,0,0,0,0,0,0,0.536020186643038,"Demyelination"
"CUI.C0012569",-0.0001614868267259,0,0,0,0,0,0,0,0.0759305279826751,0,0,-0.45680767930308,-0.0176233822958647,0,0,0,0,0,0,0,"Diplopia"
"CUI.C0015672",0.0290741305591524,0.0280897960363224,-0.0148791935269384,0.00313989650866746,-0.254827850366078,0,0,0,0,0,0,0,0.000891409099597477,0,0,0,0,-0.0326200070794254,0,0,"Fatigue"
"CUI.C0015967",0.0120257950874491,0.0163703404563919,-0.104907485399846,0.296870308660788,0,0,0,0,0,0,0,0,-0.0146161782330511,0,0,-0.135897728017872,0,0,0.0834830806120662,-0.250953969248444,"Fever"
"CUI.C0016382",-0.00153189265954346,0,-0.0139061561490942,0,0,0,0,0.23660420487764,0.526753557231283,0.0373757642918467,-0.0485843667932824,0.171731613554112,-0.0417520899829789,0,0,0,0,0,0,0,"Flushing"
"CUI.C0016911",0.0170548783221377,0.0454742423887148,0,0,-0.227002295725431,0,0,0,0,-0.028987054379663,0,0,-0.0127222255717639,0,0,0,0,0.303477231559935,0,0,"Gadolinium"
"CUI.C0018099",-0.0161508970465975,-0.0144750659153926,0,0,0,0,0,0,0,0,0,0,0,-0.00931807843338063,-0.0628408933803658,0,0,0,-0.046519452412059,0,"Gout"
"CUI.C0019932",-0.0127141129438824,-0.00961345668123956,0,0,0,0,-0.00818885830856258,0,0,-0.0146274518786676,0,0,0,-0.114015778078583,0,0,0,0,0,0,"Hormones"
"CUI.C0020538",0.0012371018199177,0.00123959365452662,0,0.365334639199874,0,0,0,0,-0.049058136805504,0,0,0,-0.0436618595337202,0,0,0,0,0,-0.673644301693448,0,"Hypertensive disease"
"CUI.C0021359",-0.00546017927395416,-0.00270473521153872,0,0,0,0,-0.0772887777229693,0,0.0334315585725375,0,0.127186564315692,0,0,0,0,0,0,0,0,0,"Infertility"
"CUI.C0021368",-0.00951888570849139,-0.00584446032888795,0,0,0,0,0,0,0.0274147879912872,0,0,-0.00677019292493047,0,-0.0785820173605646,0,0,-1.74622162837593e-05,0,0,0,"Inflammation"
"CUI.C0021400",0.00502533635499521,0,0,0.339413120453074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.119238058954661,"Influenza"
"CUI.C0021747",-0.00346848198662388,0.00191232176011298,0,0,0,0,0,0,0,0,0,-0.262012217152974,0,0,0,0,0,0,0,-0.523878104125707,"Interferons"
"CUI.C0023175",-0.0077234524870013,-0.013648772589581,0,0,0,-0.0411447370613097,0,0,0.0618856199532149,0,0.187601155375962,0,0,0,0,0,0,0,-0.063312459113788,0,"Lead"
"CUI.C0023524",-0.0102640293759843,-0.00716941823269796,0,0,0,0,0,0.0892523202562866,0.152223329025761,0,0,0,-0.00834681335496308,0,0,0,0,0,0,0,"Unknown Preferred Text"
"CUI.C0024485",0.0536091635998162,0.0783343533011526,-0.0120286369443262,0,-0.493103686659252,0,0,0,-0.042692320890601,0.107271765112499,0,0,-0.119137572230762,0,0,0,0,0.0670121148554256,0,-0.0031753717228352,"Magnetic Resonance Imaging"
"CUI.C0025260",0,0,0,0,-0.0837899016744643,-0.240396312805435,0,0,0,0,0,0,0,0,0,0,0,-0.399608949224805,0.0260225700526617,-0.0605051704278349,"Memory"
"CUI.C0025815",0.00725788574580005,0,-0.134168327579956,0,0,0,0,0.468064277251408,-0.409745968629953,-0.0593026696867503,0,0,-0.0517464925837177,0,0,0,0,-0.19515428057428,0,0.190199612378594,"Methylprednisolone"
"CUI.C0026769",0.0774017967551705,0.0913489161214861,-0.218095259990274,0,0,0,0,0,0,0.0567855616268694,0,0,0.0490744309743592,0,0.0886393562727682,0.0341404621203442,0,0,0,0.0822992979388557,"Multiple Sclerosis"
"CUI.C0026838",0.0122989940318972,0.00323926902624068,0,0,-0.279370619394973,0,0,0,0,-0.0775285658410174,0,0,0,0,0,0,0,-0.263780926129701,0,-0.000333174856031946,"Muscle Spasticity"
"CUI.C0027497",0.00255895607274762,0.00466387047072136,-0.00185174612041481,0.336913666015052,0,0,0,0,0,0,0,0,-0.0577805233576745,0,0,0,0,0.0942879114554925,0.191995296140576,-0.00328219541052428,"Nausea"
"CUI.C0028643",0.0635945540773203,0.0829372576687227,-0.082139913390803,0,-0.280521583189526,0,0,-0.0118890891999511,0,0.149642200316701,0,0,0,0,0,0,0,0,0,0,"Numbness"
"CUI.C0028738",0.00556798306726709,0.00719158292243665,0,0,-0.1117749950654,0,0,0,0,-0.226718838757742,0,0,0.0591760600922666,0,0,0,0,0,0,0,"Nystagmus"
"CUI.C0029134",-0.00587542725780326,-0.0013268394107423,0,0,0,0,0,0,0.0441590817083675,0,0,-0.0856602089496991,0,0,0,0,0,0,0.00842781700162184,0,"Optic Neuritis"
"CUI.C0030193",0.0526338595103209,0.0578165923867994,-0.323247499676056,0,0,0,0,-0.122898174034824,0,0,0,0,0,0,0,-0.0140178318739714,0,0,0,0,"Pain"
"CUI.C0030196",-0.0162359919522961,-0.0145035469850324,0,0,0,0,0,0,0,0,0,0,0,0,-0.0460784705078867,0,-0.00783401700551441,0,0,0,"Pain in limb"
"CUI.C0030252",0,0,0,0.0845488039054499,0,0,-0.0423429437267148,0,0.0376166744971521,0,0,-0.155372036119554,0,0,0,0,0,0,-0.0602603646119505,0,"Palpitations"
"CUI.C0032743",0.0491617537394127,0.0572503449123086,-0.369376421987235,0,0,0,0,-0.122064184960463,0,0,0,0,0,0,0,0,0,0,-0.0783224023361978,-0.0112266385695882,"Positron-Emission Tomography"
"CUI.C0033684",0,0,0,0.0527438528980657,0,0,-0.117693870507519,0,0.0590027874200645,0,0,0,0.0932360378357495,0,0,0,0,0,-0.00842006082670279,0,"Proteins"
"CUI.C0034991",-0.00334651522044233,-0.0108837190990136,0,0.0126317573427573,0,-0.282597751791599,0,0,0,0,0,0,0,0,0,-0.311013915880479,0,0,0,0,"Rehabilitation therapy"
"CUI.C0037763",-0.000108830066366708,-0.00287287810285618,0,0,0,-0.0815728919801635,0,0,0.0378787684670288,0,0.145442077229293,0,0,0,0,0,0,0,0,0,"Spasm"
"CUI.C0038317",0.0164039886600613,0.016951883384131,-0.119077122852014,0,0,0,0,0.186499182087778,0,-0.0676337531496006,0,-0.38419001742616,-0.0378243441899697,0,0,0.0914494152583651,0.176362237641084,0,0,0,"Steroids"
"CUI.C0038435",0,0.0035052957977822,0,0.0044918862191117,0,-0.242357906012554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Stress"
"CUI.C0038999",0.00762565315232275,0.0188407419673696,0,0.277444289682794,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0633787975420606,0.12930308669252,0,"Swelling"
"CUI.C0039869",0,0,0,0.00708772680415899,0,-0.381491934212501,0,0,0,0,0,0,0,0,0,0.0212077152710304,0,0,0,0,"Unknown Preferred Text"
"CUI.C0042798",-0.0156488576906173,-0.0140128861318164,0,0,0,0,0,0,0,0,0,0,0,0,-0.0295214968773775,0,-0.0154240602517803,0,0,0,"Low Vision"
"CUI.C0042866",0.0142370520598319,0.00151357699231726,0,0.148771177566789,0,0,0,0,0,0,0,0,0.22011097520115,0,0,0,0,-0.108996111191383,0,0,"Vitamin D"
"CUI.C0058218",-0.0117814310353504,-0.0154029263153641,0,0,0,0,0,0,0.0253732028628531,-0.0279091418968395,0,0,0,0,-0.0324976611458869,0,-0.0426157566848283,-0.0892387582965724,-0.0493623840639992,0.0426902202859248,"dimethyl fumarate"
"CUI.C0079595",0.0137865783285166,0.0205401326469645,0,0.158710429846326,-0.0151036582720394,0,0,0,0.0275242272512369,0,0,0,0,0,0,0,0,0,0.211477835644373,0.422240901530944,"Imaging Techniques"
"CUI.C0085633",-0.0136674964154268,-0.00770593100362381,0,0,0,0,0,0,0,0,0,0,0,0,-0.0424412884148566,0,-0.0123576953049249,0,0,0,"Mood swings"
"CUI.C0149783",-0.0131621739525453,-0.00643394509192642,0,0,0,0,0,0.00374717448293888,0,-0.00195484389312457,0,-0.0176236957110009,0,0,-0.0868524188836942,0,0,0,0,0,"Steroid therapy"
"CUI.C0150055",-0.0116301527820161,-0.0132970554211131,0,0,0,0,0,0,0.0317538067676014,0,0,-0.0255757215076819,0,-0.00708521833924683,-0.156138439159311,0,0,0,0,0,"Chronic pain"
"CUI.C0151827",-0.0143202132279567,-0.00564412463311468,0,0,0,0,0,0,0,-0.00369379741629869,0,0,0,-0.00932791522080654,-0.0412329761873025,0,-0.0268157962080473,0,0,0,"Eye pain"
"CUI.C0202205",-0.0167140815518774,-0.0142037252481422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0217621061491677,0,0,0,"Oligoclonal protein measurement"
"CUI.C0221505",-0.0159345079044747,-0.0129462712287098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0242434827471178,0,-0.00547804100599931,0,"Lesion of brain"
"CUI.C0225326",-0.0113270717097407,-0.00972248824949908,0,0,0,0,0,0,0.00102439180874201,0,0,-0.0258288501993363,0,-0.107575446689498,0,-0.00785413553917906,0,0,-0.017791507454014,0,"Fiber"
"CUI.C0231170",0,0,0,0,0,-0.260390005394359,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0237253317601884,"Disability"
"CUI.C0233844",-0.0165096276872144,-0.013388716952825,0,0,0,0,0,0,0,0,0,0,0,0,-0.0106927040612109,0,-0.0383041833366818,0,-0.0194250523715276,0,"Clumsiness"
"CUI.C0235031",-0.011744036569115,-0.00568586665023965,0,0,0,0,0,0,0,0,0,0,0,-0.00191750090341857,0,-0.0151663391943529,-0.0677630879290957,0,0,0,"Neurologic Symptoms"
"CUI.C0241158",-0.0146878740506596,-0.0147020770280316,0,0,0,0,0,0,0,0,0,0,0,-0.0479024196811717,0,0,-0.0115674872081192,0,-0.00304803491787908,0,"Scar Tissue"
"CUI.C0242350",0.00158194354495112,0,-0.0639011547480207,0.303487910642164,0,0,0,0,0,0,0,0,-0.0517365950458918,0,0,0,0,0,0,0,"Erectile dysfunction"
"CUI.C0242656",0.00590324807521143,0.0026200901303333,0,0,-0.23378405183755,0,0,0,0,0,0,0,0,0,0,0,0,-0.290192288938318,0,0,"Unknown Preferred Text"
"CUI.C0271051",-0.0159512061396511,-0.0130569454945285,0,0,0,0,0,0,0,-0.000247164160579809,0,0,0,0,0,0,-0.0220463703069084,0,-0.0251088910739294,0,"Macular retinal edema"
"CUI.C0274281",-0.00898174610758636,-0.00118794803077841,0,0,0,0,-0.0573502137827605,0,0.0123019985679775,0,0,0,0,-0.0188956178336955,0,0,-0.0797015421291371,0,0,0,"Injury due to exposure to external cause"
"CUI.C0277556",0,0.00433965899515314,0,0,-0.0655133577745348,0,0,0,0.0952147549265592,-0.324715368471478,0,0,0,0,0,0,0,0,0.0211576110514896,0,"Recurrent disease"
"CUI.C0278060",0,0,0,0.180081978504405,0,-0.0660077449001299,0,0,0,0,0,0,0,0,0,0.21129784729509,0,-0.419817408562354,0.00162193639670701,0,"Mental state"
"CUI.C0302583",-0.0077119507143527,-0.00862878834413814,0,0,0,0,-0.0703787550385776,0,0.0440530443921695,0,0,-0.0767335798802702,0,0,0,0,-0.0552910990199031,0,-0.035239230547724,0,"Iron"
"CUI.C0311392",0.0479254559426792,0.0433651648946687,-0.336231666476071,0,0,0,0,-0.117581378425511,0,-0.0154671341000083,0,0,0,0,0,0,0,0,0,0,"Physical findings"
"CUI.C0311394",-0.0139130309540894,-0.0160065858132745,0,0,0,0,0,0,0,-0.00306252822950222,0,0,0,-0.0375882957105955,0,-0.0161837856386204,-0.0848071201517712,0,0,0,"Difficulty walking"
"CUI.C0344232",-0.00603662879808749,-0.00423594669018485,0,0,0,0,0,0,0.0709752677344461,0,0.00954447475033009,-0.262554668588555,0,0,0,0,0,0,0,0,"Blurred vision"
"CUI.C0374711",-0.00908181721795005,-0.0123987925934856,0,0,0,0,-0.0587943255234424,0,0,0,0,0,0,-0.0610258772006787,0,0,0,0,0,0,"Surgical repair"
"CUI.C0393022",-0.0084633499987698,-0.00781905981165392,0,0,0,0,0,0.155975332663749,0,0,0,0,0,0,0,-0.0315868354727896,-0.642563525089181,0,0.0439260293142259,0,"rituximab"
"CUI.C0412675",0.0201497937127136,0.0244886900393187,0,0,-0.364971105545011,0,0,0,0,0,0,0,-0.0971106786293275,0,0,0,0,0,0,0,"MRI brain procedure"
"CUI.C0423551",-0.00491129800172182,-0.0022501277723406,0,0,0,0,0,0,0.0560327491649259,-0.350508509824863,0,0,0,0,0,0,0,0,0,0,"Sensory symptoms"
"CUI.C0427008",-0.005637249924468,-0.00369095540226962,0,0,0,0,0,0,0.058465292834691,0,0.00571504344809051,-0.094681397680062,0,0,0,-0.0282719374309716,-0.173203995392924,0,0,0,"Stiffness"
"CUI.C0430022",-0.00454566129827912,-0.00288865159120779,0,0,0,-0.0544531631679406,-0.0525275761067643,0,0.0536553050599976,0,0,0,0.0257772735356125,0,0,-0.0594851147930412,-0.106032104540079,0,0,0.109647641472659,"diagnostic procedure"
"CUI.C0518214",-0.0131076068603719,-0.0155010574859336,0,0,0,0,0,0,0,0,0,0,0,-0.0219435778214839,-0.053117431264542,0,-0.0310369201570945,0,-0.00714647536408308,0,"Perceived quality of life"
"CUI.C0543488",0,0,0,0.0203035993728761,0,-0.186368809044768,0,0,0,0,0,0,0.0232839190963688,0,0,0,0,0,0,0.047895212571826,"Interested"
"CUI.C0544452",-0.0140159104205618,-0.0104388706964497,0,0,0,0,0,0,0.0012462989452485,0,0,0,0,0,-0.0585036829077413,0,-0.0412553380787322,0,0,0,"Disease remission"
"CUI.C0549206",0.00630230972597987,0.00846681843498079,-0.184270554890004,0,0,0,0,0.0818390317859422,0,-0.264625295133995,-0.0851138527428579,0.213172735157199,-0.0190944779555778,0,0,0,0,0,0,0,"Patient currently pregnant"
"CUI.C0563322",-0.0164305671183746,-0.0124144952086634,0,0,0,0,0,0,0,0,0,0,0,0,-0.0244086438592597,0,0,0,0,0,"Intravenous steroid injection"
"CUI.C0576702",-0.0137471173879638,-0.0086747554906855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0189649525829828,0,0,0,"Unknown Preferred Text"
"CUI.C0684336",-0.00792626784903828,-0.0101041843175752,0,0,0,-0.128157656905235,0,0,0.0113325748055461,0,0,0,0,0,0,-0.125018625646814,0,-0.0634760390438979,-0.00478629934951593,0.00308166047832418,"Impaired health"
"CUI.C0701466",-0.000948411777353151,0,0,0,0,0,0,0.247124576338343,0,-0.0427674894799412,0,-0.277204895622232,-0.0474489973972589,0,0,0,0,0,0,0.0114427291632999,"Solu-Medrol"
"CUI.C0717787",-0.00283212371105243,-0.00038367509554836,0,0,0,0,-0.0138348750556906,0,0,-0.0961061400406542,0,0,0,-0.810234690717363,0.88423909814065,-0.154354039136009,-0.353532177038944,0,0,0,"Glatiramer"
"CUI.C0751967",-0.013431100277607,-0.0115349625080482,0,0,0,0,0,0,0,-0.0223125056533351,0,0,0,0,0,0,-0.050441566741987,0,0,0,"Multiple Sclerosis, Relapsing-Remitting"
"CUI.C0849970",-0.0152157372637539,-0.013971141157201,0,0,0,0,0,0,0,0,0,0,0,0,-0.0341020118425635,0,-0.0182360644922009,0,0,0,"Feeling tired"
"CUI.C0949766",0.0505146050724269,0.0574521371087401,-0.360688224523365,0,0,0,0,-0.116997325562726,0,0,0,0,0,0,0,0,0,0,-0.074516337064118,0,"Physical therapy"
"CUI.C1172734",-0.00469754753324207,0,0,0,0,0,0,0.264978983393928,0.579027584748216,0.0301068354203057,-0.235688702309762,0,-0.0881240579919639,0,0,0,0,0,0,-0.0263892221956577,"natalizumab"
"CUI.C1299582",0.00568165503204904,-0.000421488198940866,0,0.128851612019406,0,-0.00665165255700992,0,0.0302844338488259,0,0,0.112432318174741,0,0,0,0,0,0,0,0,0.0632871926834754,"Unable"
"CUI.C1299586",0.0322213957455298,0.0330978986323971,-0.0796319107304991,0,-0.143079335918239,-0.0581592617523152,0,0,0,0,0,0,0.0221969250744056,0,0,0,0,0,0,0.0384843882870203,"Has difficulty doing (qualifier value)"
"CUI.C1304680",0.000917138499352368,0.00101681824125385,0,0,-0.120722962576527,0,0,0,0.000323597244365805,-0.465967498167406,0,0,0.00942822440122077,0,0,0,0,0,0,0,"Observation of attack"
"CUI.C1517205",-0.00219114399044904,0,0,0,0,-0.15136451898096,0,0.0217500126786799,0.021111827939977,0,0,-0.261395943676269,0,0,0,0,0,0,0,0,"Unknown Preferred Text"
"CUI.C1699926",-0.0125326177778826,-0.00914087715883702,0,0,0,0,0,0,0,-0.0550759322169043,0,0,0,0,0,0,-0.0358102694599144,0,0,0.0191823213607481,"fingolimod"
"CUI.C2242996",0,0,0,0.0606682415343502,0,0,0,0,0.0880389686081056,0,0,-0.400590158963572,0,0,0,0.031705118375597,0,0,0.0592255809318014,0,"Has tingling sensation"
"CUI.chip0104",0.000917138499352368,0.00101681824125385,0,0,-0.120722962576527,0,0,0,0.000323597244365805,-0.465967498167406,0,0,0.00942822440122077,0,0,0,0,0,0,0,"Unknown Preferred Text"
